"category_url","subcategory","manufacturer","title","full_title","price","old_price","url","image","description"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 50 x 54,5 MM","FA1 Automotive Klembus 50 x 54,5 MM","€5,20","€15,00","https://www.uitlaataanbiedingen.nl/klembus-50-x-545-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639764/262x276x2/fa1-automotive-klembus-50-x-545-mm.jpg","Klembus 50 x 54,5 MM"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 42 x 46,7 MM","FA1 Automotive Klembus 42 x 46,7 MM","€4,75","€15,00","https://www.uitlaataanbiedingen.nl/klembus-42-x-467-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639721/262x276x2/fa1-automotive-klembus-42-x-467-mm.jpg","Klembus 42 x 46,7 MM"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembussen pakket","FA1 Automotive Klembussen pakket","€54,95","€135,00","https://www.uitlaataanbiedingen.nl/klembussen-pakket.html","https://cdn.webshopapp.com/shops/69473/files/348065408/262x276x2/fa1-automotive-klembussen-pakket.jpg","Alle soorten klembussen in 1 pakket met extra 20% korting."
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 65 x 69,5 MM","FA1 Automotive Klembus 65 x 69,5 MM","€5,80","€15,00","https://www.uitlaataanbiedingen.nl/klembus-65-x-695-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639850/262x276x2/fa1-automotive-klembus-65-x-695-mm.jpg","Klembus 65 x 69,5 MM"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 70 x 74,5 MM","FA1 Automotive Klembus 70 x 74,5 MM","€5,90","€15,00","https://www.uitlaataanbiedingen.nl/klembus-70-x-745-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639871/262x276x2/fa1-automotive-klembus-70-x-745-mm.jpg","Klembus 70 x 74,5 MM"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 44 x 48,5 MM","FA1 Automotive Klembus 44 x 48,5 MM","€4,85","€15,00","https://www.uitlaataanbiedingen.nl/klembus-44-x-485-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639662/262x276x2/fa1-automotive-klembus-44-x-485-mm.jpg","Klembus 44 x 48,5 MM"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 56 x 60,5 MM","FA1 Automotive Klembus 56 x 60,5 MM","€5,45","€15,00","https://www.uitlaataanbiedingen.nl/klembus-56-x-605-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639810/262x276x2/fa1-automotive-klembus-56-x-605-mm.jpg","Klembus 56 x 60,5 MM"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 54 x 58,5 MM","FA1 Automotive Klembus 54 x 58,5 MM","€5,35","€15,00","https://www.uitlaataanbiedingen.nl/klembus-54-x-585-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639791/262x276x2/fa1-automotive-klembus-54-x-585-mm.jpg","Klembus 54 x 58,5 MM"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 60 x 64,5 MM","FA1 Automotive Klembus 60 x 64,5 MM","€5,65","€15,00","https://www.uitlaataanbiedingen.nl/klembus-60-x-645-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639824/262x276x2/fa1-automotive-klembus-60-x-645-mm.jpg","Klembus 60 x 64,5 MM"
"https://www.uitlaataanbiedingen.nl/universele-uitlaatdelen/klembussen/","klembussen","FA1","Klembus 45 x 49,5 MM","FA1 Automotive Klembus 45 x 49,5 MM","€4,75","€15,00","https://www.uitlaataanbiedingen.nl/klembus-45-x-495-mm.html","https://cdn.webshopapp.com/shops/69473/files/340639739/262x276x2/fa1-automotive-klembus-45-x-495-mm.jpg","Klembus 45 x 49,5 MM"
